           T(s)              1              2              3              4              5              6              7
      36600.000  0.3285769E+01  0.2747651E+00  0.2391424E+01  0.1845729E+01  0.1761977E+00  0.1002547E+00  0.3686498E+00
      36900.000  0.3289657E+01  0.2747653E+00  0.2375623E+01  0.1813718E+01  0.1761977E+00  0.1002547E+00  0.3686848E+00
      37200.000  0.3288189E+01  0.2747655E+00  0.2356857E+01  0.1781140E+01  0.1761977E+00  0.1002547E+00  0.3687115E+00
      37500.000  0.3282031E+01  0.2747655E+00  0.2335593E+01  0.1748201E+01  0.1761977E+00  0.1002547E+00  0.3687317E+00
      37800.000  0.3271799E+01  0.2747656E+00  0.2312246E+01  0.1715089E+01  0.1761977E+00  0.1002547E+00  0.3687471E+00
      38100.000  0.3258056E+01  0.2747656E+00  0.2287188E+01  0.1681980E+01  0.1761977E+00  0.1002547E+00  0.3687588E+00
      38400.000  0.3241312E+01  0.2747656E+00  0.2260753E+01  0.1649028E+01  0.1761977E+00  0.1002547E+00  0.3687677E+00
      38700.000  0.3222029E+01  0.2747656E+00  0.2233234E+01  0.1616369E+01  0.1761977E+00  0.1002547E+00  0.3687745E+00
      39000.000  0.3200620E+01  0.2747656E+00  0.2204897E+01  0.1584123E+01  0.1761977E+00  0.1002547E+00  0.3687797E+00
      39300.000  0.3177457E+01  0.2747656E+00  0.2175972E+01  0.1552391E+01  0.1761977E+00  0.1002547E+00  0.3687836E+00
      39600.000  0.3152870E+01  0.2747656E+00  0.2146666E+01  0.1521258E+01  0.1761977E+00  0.1002547E+00  0.3687866E+00
      39900.000  0.3127153E+01  0.2747656E+00  0.2117159E+01  0.1490794E+01  0.1761977E+00  0.1002547E+00  0.3687888E+00
      40200.000  0.3100565E+01  0.2747656E+00  0.2087607E+01  0.1461056E+01  0.1761977E+00  0.1002547E+00  0.3687906E+00
      40500.000  0.3073338E+01  0.2747656E+00  0.2058148E+01  0.1432088E+01  0.1761977E+00  0.1002547E+00  0.3687919E+00
      40800.000  0.3045672E+01  0.2747656E+00  0.2028899E+01  0.1403923E+01  0.1761977E+00  0.1002547E+00  0.3687929E+00
      41100.000  0.3017745E+01  0.2747656E+00  0.1999960E+01  0.1376583E+01  0.1761977E+00  0.1002547E+00  0.3687936E+00
      41400.000  0.2989709E+01  0.2747656E+00  0.1971416E+01  0.1350083E+01  0.1761977E+00  0.1002547E+00  0.3687942E+00
      41700.000  0.2961700E+01  0.2747656E+00  0.1943337E+01  0.1324432E+01  0.1761977E+00  0.1002547E+00  0.3687946E+00
      42000.000  0.2933831E+01  0.2747656E+00  0.1915784E+01  0.1299628E+01  0.1761977E+00  0.1002547E+00  0.3687950E+00
      42300.000  0.2906201E+01  0.2747656E+00  0.1888803E+01  0.1275669E+01  0.1761977E+00  0.1002547E+00  0.3687952E+00
      42600.000  0.2878895E+01  0.2747656E+00  0.1862433E+01  0.1252546E+01  0.1761977E+00  0.1002547E+00  0.3687954E+00
      42900.000  0.2851983E+01  0.2747656E+00  0.1836702E+01  0.1230246E+01  0.1761977E+00  0.1002547E+00  0.3687956E+00
      43200.000  0.2825523E+01  0.2747656E+00  0.1811634E+01  0.1208754E+01  0.1761977E+00  0.1002547E+00  0.3687957E+00
      43500.000  0.2799565E+01  0.2747656E+00  0.1787243E+01  0.1188051E+01  0.1761977E+00  0.1002547E+00  0.3687958E+00
      43800.000  0.2774148E+01  0.2747656E+00  0.1763540E+01  0.1168119E+01  0.1761977E+00  0.1002547E+00  0.3687958E+00
      44100.000  0.2749302E+01  0.2747656E+00  0.1740529E+01  0.1148935E+01  0.1761977E+00  0.1002547E+00  0.3687959E+00
      44400.000  0.2725053E+01  0.2747656E+00  0.1718210E+01  0.1130479E+01  0.1761977E+00  0.1002547E+00  0.3687959E+00
      44700.000  0.2701417E+01  0.2747656E+00  0.1696581E+01  0.1112727E+01  0.1761977E+00  0.1002547E+00  0.3687959E+00
      45000.000  0.2678408E+01  0.2747656E+00  0.1675637E+01  0.1095656E+01  0.1761977E+00  0.1002547E+00  0.3687960E+00
      45300.000  0.2656033E+01  0.2747656E+00  0.1655367E+01  0.1079242E+01  0.1761977E+00  0.1002547E+00  0.3687960E+00
      45600.000  0.2634295E+01  0.2747656E+00  0.1635763E+01  0.1063462E+01  0.1761977E+00  0.1002547E+00  0.3687960E+00
      45900.000  0.2613195E+01  0.2747656E+00  0.1616811E+01  0.1048292E+01  0.1761977E+00  0.1002547E+00  0.3687960E+00
      46200.000  0.2592730E+01  0.2747656E+00  0.1598497E+01  0.1033710E+01  0.1761977E+00  0.1002547E+00  0.3687960E+00
      46500.000  0.2572894E+01  0.2747656E+00  0.1580808E+01  0.1019693E+01  0.1761977E+00  0.1002547E+00  0.3687960E+00
      46800.000  0.2553679E+01  0.2747656E+00  0.1563727E+01  0.1006219E+01  0.1761977E+00  0.1002547E+00  0.3687960E+00
      47100.000  0.2535077E+01  0.2747656E+00  0.1547238E+01  0.9932654E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      47400.000  0.2517076E+01  0.2747656E+00  0.1531324E+01  0.9808123E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      47700.000  0.2499665E+01  0.2747656E+00  0.1515968E+01  0.9688390E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      48000.000  0.2482830E+01  0.2747656E+00  0.1501153E+01  0.9573258E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      48300.000  0.2466557E+01  0.2747656E+00  0.1486862E+01  0.9462536E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      48600.000  0.2450833E+01  0.2747656E+00  0.1473077E+01  0.9356040E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      48900.000  0.2435642E+01  0.2747656E+00  0.1459782E+01  0.9253595E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      49200.000  0.2420969E+01  0.2747656E+00  0.1446959E+01  0.9155029E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      49500.000  0.2406799E+01  0.2747656E+00  0.1434593E+01  0.9060181E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      49800.000  0.2393116E+01  0.2747656E+00  0.1422667E+01  0.8968892E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      50100.000  0.2379906E+01  0.2747656E+00  0.1411164E+01  0.8881014E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      50400.000  0.2367153E+01  0.2747656E+00  0.1400071E+01  0.8796401E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      50700.000  0.2354842E+01  0.2747656E+00  0.1389371E+01  0.8714917E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      51000.000  0.2342959E+01  0.2747656E+00  0.1379051E+01  0.8636429E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      51300.000  0.2331488E+01  0.2747656E+00  0.1369095E+01  0.8560811E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
      51600.000  0.2320415E+01  0.2747656E+00  0.1359490E+01  0.8487942E+00  0.1761977E+00  0.1002547E+00  0.3687960E+00
