           T(s)              1              2              3              4              5              6              7
      24000.000  0.4033778E-01  0.2776948E-01  0.5116017E+00  0.3635003E-01  0.2400606E-01  0.2131665E-01  0.2677933E-01
      24300.000  0.4295217E-01  0.2882299E-01  0.5484104E+00  0.3783269E-01  0.2484648E-01  0.2207486E-01  0.2796220E-01
      24600.000  0.4564250E-01  0.2985306E-01  0.5863557E+00  0.3928889E-01  0.2566674E-01  0.2281464E-01  0.2913676E-01
      24900.000  0.4839885E-01  0.3085945E-01  0.6252479E+00  0.4071484E-01  0.2646838E-01  0.2353724E-01  0.3029836E-01
      25200.000  0.5121120E-01  0.3184277E-01  0.6648905E+00  0.4210892E-01  0.2725281E-01  0.2424392E-01  0.3144353E-01
      25500.000  0.5400723E-01  0.3264925E-01  0.7048769E+00  0.4334882E-01  0.2781138E-01  0.2476904E-01  0.3248517E-01
      25800.000  0.5671235E-01  0.3321590E-01  0.7444015E+00  0.4432272E-01  0.2813239E-01  0.2508705E-01  0.3336143E-01
      26100.000  0.5931806E-01  0.3363992E-01  0.7827944E+00  0.4508243E-01  0.2836660E-01  0.2531673E-01  0.3410416E-01
      26400.000  0.6181944E-01  0.3397969E-01  0.8195825E+00  0.4568753E-01  0.2856907E-01  0.2550886E-01  0.3473979E-01
      26700.000  0.6421343E-01  0.3426986E-01  0.8544727E+00  0.4618675E-01  0.2875970E-01  0.2568490E-01  0.3529001E-01
      27000.000  0.6649827E-01  0.3453077E-01  0.8873362E+00  0.4667707E-01  0.2894561E-01  0.2585383E-01  0.3577237E-01
      27300.000  0.6867456E-01  0.3477433E-01  0.9186180E+00  0.4762212E-01  0.2912935E-01  0.2601942E-01  0.3620101E-01
      27600.000  0.7075021E-01  0.3500748E-01  0.9495535E+00  0.4931029E-01  0.2931182E-01  0.2618322E-01  0.3658719E-01
      27900.000  0.7274304E-01  0.3523425E-01  0.9816330E+00  0.5181061E-01  0.2949336E-01  0.2634589E-01  0.3693989E-01
      28200.000  0.7468027E-01  0.3545695E-01  0.1016338E+01  0.5509579E-01  0.2967409E-01  0.2650770E-01  0.3726619E-01
      28500.000  0.7659681E-01  0.3567695E-01  0.1055026E+01  0.5908836E-01  0.2985406E-01  0.2666877E-01  0.3757168E-01
      28800.000  0.7853321E-01  0.3589502E-01  0.1098861E+01  0.6368662E-01  0.3003329E-01  0.2682915E-01  0.3786076E-01
      29100.000  0.8052209E-01  0.3608611E-01  0.1148173E+01  0.6808265E-01  0.3017736E-01  0.2696148E-01  0.3812287E-01
      29400.000  0.8258437E-01  0.3624048E-01  0.1201112E+01  0.7180715E-01  0.3028492E-01  0.2706200E-01  0.3835107E-01
      29700.000  0.8473306E-01  0.3637397E-01  0.1256078E+01  0.7515531E-01  0.3037993E-01  0.2714968E-01  0.3855304E-01
      30000.000  0.8696977E-01  0.3649560E-01  0.1312130E+01  0.7830690E-01  0.3047057E-01  0.2723214E-01  0.3873472E-01
      30300.000  0.8929003E-01  0.3661043E-01  0.1368769E+01  0.8136536E-01  0.3055961E-01  0.2731244E-01  0.3890072E-01
      30600.000  0.9168729E-01  0.3672136E-01  0.1425836E+01  0.8438671E-01  0.3064799E-01  0.2739177E-01  0.3905460E-01
      30900.000  0.9415511E-01  0.3683001E-01  0.1483288E+01  0.8739855E-01  0.3073605E-01  0.2747064E-01  0.3919912E-01
      31200.000  0.9668765E-01  0.3693727E-01  0.1541111E+01  0.9041165E-01  0.3082388E-01  0.2754923E-01  0.3933639E-01
